- Partner{idDbo=81, shortName=kangoo-club-wien, name=Kangoo Club Wien, address=Theresiengasse 47, 1180 Wien}
- Partner{idDbo=82, shortName=kavaza-schule-wien, name=Kavaza Schule Wien, address=Wipplingerstraße 30, 1010 Wien}
- Partner{idDbo=83, shortName=kletterhalle-wien-sdstadt, name=Kletterhalle Wien & Südstadt, address=Kletterhalle Südstadt: Liese Prokop-Platz 1, 2344 Maria Enzersdorf}
- Partner{idDbo=84, shortName=kletterpark-donauinsel, name=Kletterpark Donauinsel, address=Am Kaisermühlendamm 53, 1220 WIen}
- Partner{idDbo=85, shortName=krafftgasse-eu, name=Krafftgasse e.U., address=Rembrandtstrasse 26/2, 1020 Wien}
- Partner{idDbo=86, shortName=krav-maga-global, name=Krav Maga Global, address=Obere Donaustraße 69, 1020 Wien}
- Partner{idDbo=87, shortName=lenok-yoga, name=Lenok Yoga, address=Stubenring 14/DG, 1010 Vienna}
- Partner{idDbo=88, shortName=little-yoga-room, name=Little Yoga Room, address=Strozzigasse 32-34, 1080 Wien}
- Partner{idDbo=89, shortName=makoto-dojo-vienna, name=Makoto Dojo Vienna, address=Anastasius Grün Gasse 10, 1180 Wien}
- Partner{idDbo=90, shortName=mamafit, name=MamaFIT, address=AUGARTEN, 1020 Wien}
- Partner{idDbo=91, shortName=mamafit-maria-tavares, name=mamaFIT Maria Tavares, address=Arenbergpark, 1030 Wien}
- Partner{idDbo=92, shortName=mamborama, name=Mamborama, address=Schmalzhofgasse 8/15, 1060 Wien}
- Partner{idDbo=93, shortName=mars-training, name=MARS Training, address=Roter Berg, 1130 Wien}
- Partner{idDbo=94, shortName=mathletics, name=MAthletics, address=Sonnenallee 41, 1220 Wien}
- Partner{idDbo=95, shortName=maxx-entertainment, name=MAXX Entertainment, address=Herziggasse 3, 1230 Wien}
- Partner{idDbo=96, shortName=mein-raum-yoga-feel-move-balance, name=Mein Raum Yoga - FEEL. MOVE. BALANCE., address=Ungargasse 46, 1030 Wien}
- Partner{idDbo=97, shortName=mindful-yoga-mit-caro, name=MINDFUL YOGA mit Caro, address=Fasholdgasse 3 (Sattvayoga), 1130 Wien}
- Partner{idDbo=98, shortName=missmagicfit, name=MissMAGICFIT, address=Prager Straße 80-86, 1210 Wien}
- Partner{idDbo=99, shortName=mma-vienna, name=MMA Vienna, address=Favoritenstraße 54, 1040 Wien}
- Partner{idDbo=100, shortName=myclubs-fussball, name=myClubs Fussball, address=Karajangasse 14, 1200 Wien}
- Partner{idDbo=101, shortName=nox-fight-fitness-club, name=NOX Fight & Fitness Club, address=Friesgasse 12, 1150 Wien}
- Partner{idDbo=102, shortName=oeav-kletteranlage-flakturm, name=OeAV Kletteranlage Flakturm, address=OeAV-Kletteranlage Flakturm, 1060 Wien}
- Partner{idDbo=103, shortName=parkour-austria, name=Parkour Austria, address=Wohlmutstraße 3, 1020 Wien}
- Partner{idDbo=104, shortName=perform-zentrum, name=Perform Zentrum, address=Mariahilfer Strasse 51, 1060 Wien}
- Partner{idDbo=105, shortName=performing-center-austria, name=Performing Center Austria, address=Zieglergasse 7, 1070 Wien}
- Partner{idDbo=106, shortName=personal-fitness-club, name=Personal Fitness Club, address=Porzellangasse 47, 1090 Wien}
- Partner{idDbo=107, shortName=personalcoretraining, name=Personalcoretraining, address=Alserbachstraße 11/3, 1090 Wien}
- Partner{idDbo=108, shortName=pilates-boutique-vienna, name=Pilates Boutique Vienna, address=Elisabethstraße 6/3/17, 5. Stock, 1010 Wien}
- Partner{idDbo=109, shortName=pilates-studio-vienna, name=Pilates Studio Vienna, address=Kundmanngasse 33, 1030 Wien}
- Partner{idDbo=110, shortName=pilates-system-europe, name=Pilates System Europe, address=Severingasse 1/6, 1090 Wien}
- Partner{idDbo=111, shortName=pilatesstudio-rosen, name=Pilatesstudio Rosen, address=Walcherstraße 13 G.01, 1020 Wien}
- Partner{idDbo=112, shortName=pop-pilates, name=Pop Pilates, address=Ferstelgasse 3, 1090 Wien}
- Partner{idDbo=113, shortName=poweryoga-vienna, name=poweryoga vienna, address=Franz-Hochedlinger-Gasse 4, 1020 Wien}
- Partner{idDbo=114, shortName=px-sports, name=PX Sports, address=Sensengasse 5/3, 1090 Wien}
- Partner{idDbo=115, shortName=qigong-kleinowitz, name=Qigong Kleinowitz, address=}
- Partner{idDbo=116, shortName=retreat-vienna, name=RE:TREAT Vienna, address=Nelkengasse 6/14, 1060 Wien}
- Partner{idDbo=117, shortName=rising-high, name=Rising High, address=Obergfellplatz 2/1, 1210 Wien}
- Partner{idDbo=118, shortName=roberta-rogy-ems, name=Roberta Rogy EMS, address=Rasumofskygasse 17, 1030 Wien}
- Partner{idDbo=119, shortName=rockubody-fit-am-ring, name=ROCKuBODY - Fit am Ring, address=Beethovenplatz 1, 1010 Wien}
- Partner{idDbo=120, shortName=sami-self-defense-martial-arts, name=S.A.M.I. - Self Defense & Martial Arts, address=Frömmlgasse 31, 1210 Wien}
- Partner{idDbo=121, shortName=salsaviva, name=SalsaViva, address=Wipplingerstraße 30, 1010 Wien}
- Partner{idDbo=122, shortName=sc-vienna-walzer-sektion-futsal, name=SC Vienna Walzer Sektion Futsal, address=}
- Partner{idDbo=123, shortName=schwimmschule-wien, name=Schwimmschule Wien, address=Vally-Weigl-Gasse 2/Stiege 1, 1100 Wien}
- Partner{idDbo=124, shortName=shendao-fitness, name=Shendao Fitness, address=Kendlerstrasse 25, 1140 Wien}
- Partner{idDbo=125, shortName=shenwu, name=Shenwu, address=Argentinierstraße 17, 1040 Wien}
- Partner{idDbo=126, shortName=shinergy-schnbrunn, name=Shinergy Schönbrunn, address=Winkelmannstrasse 8, 1150 Wien}
- Partner{idDbo=127, shortName=silat-akademie, name=Silat Akademie, address=Währinger Gürtel 29, 1180 Wien}
- Partner{idDbo=128, shortName=soundcycle-urban-indoor-cycling-studio, name=soundcycle - urban indoor cycling studio, address=Bauernmarkt 18/10, 1010 Wien}
- Partner{idDbo=129, shortName=special-dive-tauchschule, name=Special Dive Tauchschule, address=Lilienbrunngasse 7-9, 1020 Wien}
- Partner{idDbo=130, shortName=spinbox, name=SpinBOX, address=Vally-Weigl-Gasse 2, 1100 Wien}
- Partner{idDbo=131, shortName=sport-zentrum-gudrun, name=Sport Zentrum Gudrun, address=Laimäckergasse 1, 1100 Wien}
- Partner{idDbo=132, shortName=sporthalle-wien, name=SPORTHALLE WIEN, address=Fuhrmannsgasse 18, 1080 Wien}
- Partner{idDbo=133, shortName=sportzentrum-leopoldstadt, name=Sportzentrum Leopoldstadt, address=Leystraße 163, 1020 Wien}
- Partner{idDbo=134, shortName=sportzentrum-marswiese, name=Sportzentrum Marswiese, address=Neuwaldeggerstrasse 57 A, 1170 Wien}
- Partner{idDbo=135, shortName=spring-dance-tanzen-macht-spass, name=Spring Dance - Tanzen macht Spass, address=Obere Donaustrasse 69, 1020 Wien, 1020 Wien}
- Partner{idDbo=136, shortName=stand-up-paddling-kayak-center, name=Stand Up Paddling & Kayak Center, address=}
- Partner{idDbo=137, shortName=sula-fitness, name=Sula Fitness, address=Alserbachstraße 11/3, 1090 Wien}
- Partner{idDbo=138, shortName=tabro, name=TABRO®, address=Kürschnergasse 1A, 1210 Wien}
- Partner{idDbo=139, shortName=tae-kibo-kampfsportverein, name=Tae-Kibo Kampfsportverein, address=Münzgasse 3, 1030 Wien}
- Partner{idDbo=140, shortName=tanzschule-chris, name=Tanzschule Chris, address=Wehlistraße 150 , 1020 Wien}
- Partner{idDbo=141, shortName=tanzstudio-mnada, name=Tanzstudio Mänada, address=Diehlgasse 52/ Ecke Margaretenstraße, 1050 Wien}
- Partner{idDbo=142, shortName=tennis-hrubesch, name=Tennis Hrubesch, address=Rosensteingasse 93, 1170 Wien}
- Partner{idDbo=143, shortName=tennis-point-vienna, name=Tennis Point Vienna, address=Baumgasse 87, 1030 Wien}
- Partner{idDbo=144, shortName=tennisclub-pokorny, name=Tennisclub Pokorny, address=Mauerbachstraße 75, 1140 Wien}
- Partner{idDbo=145, shortName=the-coi, name=The COI, address=Handelskai 265, 1020 Wien}
- Partner{idDbo=146, shortName=the-drill, name=the drill, address=Ennsgasse 17, 1020 Wien}
- Partner{idDbo=147, shortName=tikju-twerk-dance-studio, name=Ti:Kju - Twerk & Dance Studio, address=Nußdorferstraße 69/Top 1a, 1090 Wien}
- Partner{idDbo=148, shortName=triller-crossfit, name=Triller CrossFit, address=Trillergasse 4/21A, 1210 Wien}
- Partner{idDbo=149, shortName=tristyle, name=Tristyle, address=Türkenstraße 13, 1090 Wien}
- Partner{idDbo=150, shortName=triyoga-center-vienna, name=Triyoga-Center Vienna, address=Plösslgasse 11, 1040 Wien}
